BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Custom1
7,,ieee-104,"Lee, B. J.; Ku, B.; Nam, J.; Pham, D. D. & Kim, J. Y.",Prediction of Fasting Plasma Glucose Status Using Anthropometric Measures for Diagnosing Type 2 Diabetes,IEEE Journal of Biomedical and Health Informatics,,,,,2014,,,,,,,,,"It is well known that body fat distribution and obesity are important risk factors for type 2 diabetes. Prediction of type 2 diabetes using a combination of anthropometric measures remains a controversial issue. This study aims to predict the fasting plasma glucose (FPG) status that is used in the diagnosis of type 2 diabetes by a combination of various measures among Korean adults. A total of 4870 subjects (2955 females and 1915 males) participated in this study. Based on 37 anthropometric measures, we compared predictions of FPG status using individual versus combined measures using two machine-learning algorithms. The values of the area under the receiver operating characteristic curve in the predictions by logistic regression and naive Bayes classifier based on the combination of measures were 0.741 and 0.739 in females, respectively, and were 0.687 and 0.686 in males, respectively. Our results indicate that prediction of FPG status using a combination of anthropometric measures was superior to individual measures alone in both females and males. We show that using balanced data of normal and high FPG groups can improve the prediction and reduce the intrinsic bias of the model toward the majority class."
6,,ieee-11,"Kalaiselvi, C. & Nasira, G. M.",A New Approach for Diagnosis of Diabetes and Prediction of Cancer Using ANFIS,,,,,,2014,,,,"Computing and Communication Technologies (WCCCT), 2014 World Congress on",,,,,"The multi factorial, chronic, severe diseases like diabetes and cancer have complex relationship. When the glucose level of the body goes to abnormal level, it will lead to Blindness, Heart disease, Kidney failure and also Cancer. Epidemiological studies have proved that several cancer types are possible in patients having diabetes. Many researchers proposed methods to diagnose diabetes and cancer. To improve the classification accuracy and to achieve better efficiency a new approach like Adaptive Neuro Fuzzy Inference System (ANFIS) is proposed."
6,,ieee-112,"Alotaibi, M. M.; Istepanian, R. S. H.; Sungoor, A. & Philip, N.",An intelligent mobile diabetes management and educational system for Saudi Arabia: System architecture,,,,,,2014,,,,IEEE-EMBS International Conference on Biomedical and Health Informatics (BHI),,,,,"This paper presents an intelligent mobile diabetes management and educational system for patients in Saudi Arabia with type 2 diabetes (SAED). The SAED system consists of two main components: (1) the SAED mobile patient/healthcare provider component and (2) the SAED intelligent diabetes management component. The SAED mobile patient/healthcare provider component includes two units (i) the patient's unit and (ii) the specialist diabetic unit, which communicate for data exchange. The SAED intelligent diabetes management component includes (i) a database module; (ii) an intelligent decision support module based on fuzzy logic concepts; (iii) a SAED SMS reminder module and (iv) a diabetes educational module. In general, SAED is a system capable of storing clinical data on diabetes management, such as daily blood glucose and blood pressure measurements and hypoglycaemia events. These stored records and the incorporated decision support system will allow the clinician to monitor patients remotely. Furthermore, the decision support system will provide the physician with recommendations for each patient using fuzzy logic theory."
6,,ieee-22,"Altikardes, Z. A.; Erdal, H.; Baba, A. F.; Tezcan, H.; Fak, A. S. & Korkmaz, H.",A study to classify Non-Dipper/Dipper blood pressure pattern of type 2 diabetes mellitus patients without Holter device,,,,,,2014,,,,"Computer Applications and Information Systems (WCCAIS), 2014 World Congress on",,,,,"The aim of this study was to design an expert system to predict the Non-Dipping or Dipping pattern by using several basic clinical and laboratory data through an artificial intelligence algorithm. Data Mining is a technique which extracts information from data sets by using a combination of both statistical analysis methods and artificial intelligence algorithms. Also in this study, the decision tree and naivebayes classification algorithms of this technique were used. Firstly, sixty-five patients (mean age 51$\pm$7 years, 40 females,) were included in the study. Systolic and diastolic dipping were found in 13 and 15 % of the patients, respectively. In the advancing process of the experiment, the number of instances were reduced, because of some missing data of the patients. The data sets were tested using the J48 decision tree algorithm. This classification algorithm was implemented on 56 instances, and also the number of attributes was reduced from 35 to 23. 66 % of the instances (37) were reserved for training and 44 % of the instances (19) were reserved for testing. When the algorithm was run, the Non-Dipper/Dipper pattern of the instances were correctly predicted in a rate of 73.6842 %. Model was built in 0.02 seconds. This pilot study shows that a machine learning algorithm can help in the prediction of diurnal blood pressure pattern relying on some basic demographic, clinical and laboratory data, with a reasonable accuracy."
7,,ieee-31,"Yan, K.; Zhang, D.; Wu, D.; Wei, H. & Lu, G.",Design of a Breath Analysis System for Diabetes Screening and Blood Glucose Level Prediction,IEEE Transactions on Biomedical Engineering,,,,,2014,,,,,,,,,"It has been reported that concentrations of several biomarkers in diabetics' breath show significant difference from those in healthy people's breath. Concentrations of some biomarkers are also correlated with the blood glucose levels (BGLs) of diabetics. Therefore, it is possible to screen for diabetes and predict BGLs by analyzing one's breath. In this paper, we describe the design of a novel breath analysis system for this purpose. The system uses carefully selected chemical sensors to detect biomarkers in breath. Common interferential factors, including humidity and the ratio of alveolar air in breath, are compensated or handled in the algorithm. Considering the intersubject variance of the components in breath, we build subject-specific prediction models to improve the accuracy of BGL prediction. A total of 295 breath samples from healthy subjects and 279 samples from diabetic subjects were collected to evaluate the performance of the system. The sensitivity and specificity of diabetes screening are 91.51% and 90.77%, respectively. The mean relative absolute error for BGL prediction is 21.7%. Experiments show that the system is effective and that the strategies adopted in the system can improve its accuracy. The system potentially provides a noninvasive and convenient method for diabetes screening and BGL monitoring as an adjunct to the standard criteria."
6,,ieee-54,"Zarkogianni, K.; Mitsis, K.; Arredondo, M. T.; Fico, G.; Fioravanti, A. & Nikita, K. S.",Neuro-fuzzy based glucose prediction model for patients with Type 1 diabetes mellitus,,,,,,2014,,,,IEEE-EMBS International Conference on Biomedical and Health Informatics (BHI),,,,,"This paper presents the design, the development and the evaluation of a personalized glucose prediction model for patients with Type 1 Diabetes Mellitus (T1DM). The personalized model is based on neuro-fuzzy techniques in order to capture the metabolic behavior of a patient with T1DM. Moreover, wavelets are applied as activation functions in order to enhance the prediction performance and avoid local minimum during training stage. The model receives as input, data from sensors which record in real time glucose levels and physical activity, and provides with future glucose levels. The proposed model is evaluated using data from the medical records of 6 patients with T1DM for the time being on CGMSs and physical activity sensors. The obtained results demonstrate the ability of the proposed model to capture the metabolic behavior of a patient with T1DM and to handle intra- and inter-patient variability."
6,,ieee-73,"Prasad, B. R. & Agarwal, S.",Modeling risk prediction of diabetes --- A preventive measure,,,,,,2014,,,,2014 9th International Conference on Industrial and Information Systems (ICIIS),,,,,"Databases in clinical scenario have tremendous amount of data regarding patients and clinical history associated. Here, data mining plays vital role in searching for patterns within huge clinical data that could provide useful basis of knowledge for efficient and effective decision-making. Classification mechanism is widely used tool of data mining employed in healthcare applications to facilitate disease diagnosis and prediction. Usually medical dataset are high dimension in nature containing many insignificant attributes or features and result poor classification with inaccuracies. Feature selection is a technique used for preprocessing the high-dimensional data to reduce data dimension and to remove redundant and irrelevant features. This paper provides a systematic data mining approach for selecting best indicators of diabetes among many attributes present in the database and gives an appropriate model to track the diabetes before its onset. It selects the most appropriate classifier model for the given dataset through voting mechanism to achieve best accuracy and eliminating any biased result."
6,,ieee-75,"Ling, S. H.; San, P. P.; Lam, H. K. & Nguyen, H. T.",Non-invasive detection of hypoglycemic episodes in Type 1 diabetes using intelligent hybrid rough neural system,,,,,,2014,,,,2014 IEEE Congress on Evolutionary Computation (CEC),,,,,"Insulin-dependent diabetes mellitus is classified as Type 1 diabetes and it can be further classified as immune-mediated or idiopathic. Through the analysis of electrocar-diographic (ECG) signals of 15 children with T1DM, an effective hypoglycemia detection system, hybrid rough set based neural network (RNN) is developed by the use of physiological parameters of ECG signal. In order to detect the status of hypoglycemia, the feature of ECG of type 1 diabetics are extracted and classified according to corresponding glucose levels. In this technique, the applied physiological inputs are partitioned into predicted (certain) or random (uncertain) parts using defined lower and boundary of rough regions. In this way, the neural network is designed to deal only with the boundary region which mainly consists of a random part of applied input signal causing inaccurate modeling of the data set. A global training algorithm, hybrid particle swarm optimization with wavelet mutation (HPSOWM) is introduced for parameter optimization of proposed RNN. The experiment is carried out using real data collected at Department of Health, Government of Western Australia. It indicated that the proposed hybrid architecture is efficient for hypoglycemia detection by achieving better sensitivity and specificity with less number of design parameters."
6,,ieee-103,"Khanna, S. & Agarwal, S.",An Integrated Approach towards the Prediction of Likelihood of Diabetes,,,,,,2013,,,,"Machine Intelligence and Research Advancement (ICMIRA), 2013 International Conference on",,,,,"With the growth of Information and communication technologies, the health care industry is also producing extensively large data. For managing such large amount of data, an efficient knowledge discovery process is required. This field is developing fast and there is a big scope of early planning towards the treatment of large number of diseases. The planning can be done by developing some strategic solutions based on Data Mining for the treatment of the disease. Classification based on supervised learning is a technique of Data Mining which helps in predicting the label of unknown samples as Class. This is extremely popular technique of Data Mining by which the treatment of a disease could be planned at an early stage. Diabetes is one of the chronic diseases produces metabolism disorder in human bodies. Metabolism refers a chemical process in human body responsible for energy conversion and utilization. The diabetes with type 1 and type 2 indicates excess glucose level in the blood could be cured if regular precautions have been taken persistently under certain clinical guidelines. This paper performs classification on diabetes dataset taken from SGPGI, Lucknow (A super specialty hospital in Lucknow, Uttar Pradesh, India). It predicts an unknown class label for given set of data and helpful to find out whether the class label for the dataset under consideration would be of low risk, medium risk or high risk. The classifier is further trained on the basis of weights assigned to different attributes which are generated by means of expert guidelines. The accuracy of classifier is verified by kappa statistics and accuracy, evolution criteria for classifiers."
7,,ieee-122,"Georga, E. I.; Protopappas, V. C.; Ardig&#x00F2, D.; Marina, M.; Zavaroni, I.; Polyzos, D. & Fotiadis, D. I.",Multivariate Prediction of Subcutaneous Glucose Concentration in Type 1 Diabetes Patients Based on Support Vector Regression,IEEE Journal of Biomedical and Health Informatics,,,,,2013,,,,,,,,,"Data-driven techniques have recently drawn significant interest in the predictive modeling of subcutaneous (s.c.) glucose concentration in type 1 diabetes. In this study, the s.c. glucose prediction is treated as a multivariate regression problem, which is addressed using support vector regression (SVR). The proposed method is based on variables concerning: 1) the s.c. glucose profile; 2) the plasma insulin concentration; 3) the appearance of meal-derived glucose in the systemic circulation; and 4) the energy expenditure during physical activities. Six cases corresponding to different combinations of the aforementioned variables are used to investigate the influence of the input on the daily glucose prediction. The proposed method is evaluated using a dataset of 27 patients in free-living conditions. Tenfold cross validation is applied to each dataset individually to both optimize and test the SVR model. In the case, where all the input variables are considered, the average prediction errors are 5.21, 6.03, 7.14, and 7.62 mg/dl for 15-, 30-, 60-, and 120-min prediction horizons, respectively. The results clearly indicate that the availability of multivariable data and their effective combination can significantly increase the accuracy of both short-term and long-term predictions."
6,,ieee-94,"Dalakleidi, K. V.; Zarkogianni, K.; Karamanos, V. G.; Thanopoulou, A. C. & Nikita, K. S.",A hybrid genetic algorithm for the selection of the critical features for risk prediction of cardiovascular complications in Type 2 Diabetes patients,,,,,,2013,,,,"Bioinformatics and Bioengineering (BIBE), 2013 IEEE 13th International Conference on",,,,,"The purpose of this study is to present a hybrid approach based on the combined use of a genetic algorithm (GA) and a nearest neighbours classifier for the selection of the critical clinical features which are strongly related with the incidence of fatal and non fatal Cardiovascular Disease (CVD) in patients with Type 2 Diabetes Mellitus (T2DM). For the development and the evaluation of the proposed algorithm, data from the medical records of 560 patients with T2DM are used. The best subsets of features proposed by the implemented algorithm include the most common risk factors, such as age at diagnosis, duration of diagnosed diabetes, glycosylated haemoglobin (HbA1c), cholesterol concentration, and smoking habit, but also factors related to the presence of other diabetes complications and the use of antihypertensive and diabetes treatment drugs (i.e. proteinuria, calcium antagonists, b-blockers, diguanides and insulin). The obtained results demonstrate that the best performance was achieved when the weighted k-nearest neighbours classifier was applied to the CVD dataset with the best subset of features selected by the GA, which resulted in high levels of accuracy (0.96), sensitivity (0.80) and specificity (0.98)."
6,,ieee-10,"Luangruangrong, W.; Rodtook, A. & Chimmanee, S.",Study of Type 2 diabetes risk factors using neural network for Thai people and tuning neural network parameters,,,,,,2012,,,,"2012 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",,,,,"Risk factors for Type 2 diabetes is very important for developing diabetes prediction tools instead of blood testing. Recently, many researches have studied risk factors of diabetes in order to apply them to be a tool for diabetes prediction by using Logistic Regression (LR), Radial Basis and Back-propagation Neural Network (BNN). However, the accuracy is not higher. This paper presents new factors that are smoking and alcohol consumption to improve accuracy in diabetes prediction. Some traditional factors i.e., body mass index (BMI), blood pressure (BP) and waist circumference (WC) and Family History (FMH) are also proposed to extent by adjusting and additional range. The proposed diabetes prediction method is based on BNN. Approximately 2,000 cases of Thai people at BMC hospital, Thailand during 2010 to 2012 are used to train the BNN. From experiment results, each proposed factors i.e., FMH, Alcohol consumption factor, Smoking Factors and WC gives a value of accuracy that is higher than baseline as 83.35%, 83.5%, 83.6% and 83.65%, respectively. After that, this paper focuses on tuning neural network parameter, which is divided into 3 main steps: number of hidden nodes, sequence of integrating the proposed factors, and other parameter i.e., learning rate, and Iteration. Finally, the proposed factors and tuning BNN parameters introduce a high accuracy compared with the baseline up to 1.2%."
