Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Custom1
ieee-124,"Pavate, A. & Ansari, N.",Risk Prediction of Disease Complications in Type 2 Diabetes Patients Using Soft Computing Techniques,,,,,,2015,,,,2015 Fifth International Conference on Advances in Computing and Communications (ICACC),,,,,"Diabetes has become the fourth leading cause of death in developed countries. By the endurance and hasty spread of diabetes, with increased number of ill condition, complications in the disease all over the world, several methodologies have been developed to predict and prevent this chronic disease. An early diagnosis of disease helps patients and medical experts to reduce the problem, risk and cost of medications. This paper presented an efficient system to predict diabetes and further complications with risk level. In this system, methods including genetic algorithm, nearest neighbor, and fuzzy rule-based system have been used in order to provide an accurate prediction system to prepare for presence of diabetes and complications. In this system, 235 individual's data were collected. The best subsets of features generated by the implemented algorithm include the most common risk factors such as age, family history, BMI, weight, smoking habit, alcohol habit and also factors related to the presence of other diabetes complications considered for predication of disease. The proposed system was prejudiced and the results showed to be more suitable by selecting best subset of features selected using variations of genetic algorithm depending on the types of nearest neighbor. The succeeded results produced 95.83% sensitivity, 95.50% accuracy and 86.95% specificity on impenetrable data which support the effectiveness of the system to predict the disease."
ieee-127,"Purushottam; Saxena, K. & Sharma, R.",Diabetes mellitus prediction system evaluation using C4.5 rules and partial tree,,,,,,2015,,,,"Reliability, Infocom Technologies and Optimization (ICRITO) (Trends and Future Directions), 2015 4th International Conference on",,,,,"Diabetes disease prediction is a progressive area of research in the healthcare Sector. Although many data mining techniques have been employed to assess the main causes of diabetes, but only few sets of clinical risk factors are considered. Due to this, some important factors like pre-diabetes health conditions are not considered in their analysis. So the results produced by such techniques may not represent appropriate diabetes pattern and risk factors appropriately."
ieee-19,"Singla, J.",Comparative study of Mamdani-type and Sugeno-type fuzzy inference systems for diagnosis of diabetes,,,,,,2015,,,,"Computer Engineering and Applications (ICACEA), 2015 International Conference on Advances in",,,,,Fuzzy inference systems for diagnosis of diabetes are developed using Mamdani-type and Sugeno-type fuzzy models. The outcome obtained by two fuzzy inference systems is evaluated. This paper summarizes the essential variation among the Mamdani-type and Sugeno-type fuzzy inference systems. MATLAB fuzzy logic toolbox is used for the simulation of both the models. This also confirms which one is a superior choice of the two fuzzy inference systems for diagnosis of diabetes.
ieee-25,"Alotaibi, M.",A mobile Diabetes educational system for fasting Type-2 diabetics in Saudi Arabia,,,,,,2015,,,,"2015 2nd International Conference on Information Technology, Computer, and Electrical Engineering (ICITACEE)",,,,,"The diagnosis and management of Diabetes is often a complicated process. The complications especially increases during the month of Ramadan wherein Muslim patients are obliged to observe fasting. Recent mobile health technologies are increasingly used in improving the self-management of chronic diseases such as diabetes and several studies have proven its efficiency. Further, research has shown that increased awareness of the disease helps the diabetics to effectively manage their disease and consequently reduce the complications arising due to diabetes. In this paper, an education program for fasting diabetes patients in Kingdom of Saudi Arabia is presented. The education program makes use of an intelligent mobile diabetes management system named SAED, tailored for Type-2 diabetes patients in Kingdom of Saudi Arabia to increase the awareness of the disease amongst the patients. The aim of the education program is to empower the diabetics with relevant knowledge about disease management during the fasting period in particular and improve their awareness about the disease in general. The proposed structure of the education program is presented in this paper which will be tested and evaluated extensively in a randomized controlled trial in Saudi Arabia."
ieee-27,"Vijayan, V. V. & Anjali, C.",Prediction and diagnosis of diabetes mellitus --- A machine learning approach,,,,,,2015,,,,2015 IEEE Recent Advances in Intelligent Computational Systems (RAICS),,,,,"Diabetes is a disease caused due of the expanded level of sugar fixation in the blood. Various computerized information systems were outlined utilizing diverse classifiers for anticipating and diagnosing diabetes. Selecting legitimate classifiers clearly expands the exactness and proficiency of the system. Here a decision support system is proposed that uses AdaBoost algorithm with Decision Stump as base classifier for classification. Additionally Support Vector Machine, Naive Bayes and Decision Tree are also implemented as base classifiers for AdaBoost algorithm for accuracy verification. The accuracy obtained for AdaBoost algorithm with decision stump as base classifier is 80.72% which is greater compared to that of Support Vector Machine, Naive Bayes and Decision Tree."
ieee-29,"Alotaibi, M. & Choudhury, I.",A social robotics children diabetes management and educational system for Saudi Arabia: System architecture,,,,,,2015,,,,"Computer Science, Computer Engineering, and Social Media (CSCESM), 2015 Second International Conference on",,,,,"The diagnosis and management of Diabetes type 1 (Children diabetes) is often a complicated process. Recent mobile health technologies are increasingly used in improving the self-management of chronic diseases such as diabetes and several studies have proven its efficiency. Further, research has shown that increased awareness of the disease helps the diabetics to effectively manage their disease and consequently reduce the complications arising due to diabetes. In this paper, an innovative social robotic children diabetes management and educational system for diabetic children in Kingdom of Saudi Arabia is presented. The presented system makes use of Aisoy1 v5 robot in parallel with mobile health technologies. The aim of the system is to improve the diabetes type 1 management with children and to empower them with relevant knowledge about disease management to improve their awareness about the disease in Saudi Arabia. The proposed system presented in this paper will be tested and evaluated extensively in a randomized controlled trial in Saudi Arabia."
ieee-40,"Nieto-Chaupis, H.; Caballero, M.; Matta-Solis, H.; Perez-Siguas, R.; Blas, S.; Carranza-Manrique, E.; Contreras, E.; Quispe, G.; Ramirez, S. & Rocha, J.",Preventing Risk Situations at Type-II Diabetes Mellitus Patients Through Continuous Glucose Monitoring and Prediction-Based Teleconsults,,,,,,2015,,,,2015 IEEE 28th International Symposium on Computer-Based Medical Systems,,,,,"We present a scheme of eHealth based on teleconsults aimed to reduce unexpected events and complications in type-2 diabetes mellitus (DM-II). To this end, this study has considered the history of glucose tests taken as input inside a predictive mathematical scheme based on probabilities. The resulting output goes to a real-time monitoring system in order to detect and update those cases where patients would require of rapid assistance. The simulations have shown that the opportune intervention of teleconsults might be effective in the sense of monitoring diet and drug-based treatment by employing simple mobile phones and minimal software applications. For example, the case of a critic patient with a rapid increasing of glucose above 200 mg/dL, the opportune intervention of teleconsults might reduce these values by a 50% during a time of 20$\pm$2 days. It can also be traduced as the improvement on the stability of patient against the risk of cardiovascular events, or others DM-II inherent complications."
ieee-43,"Vijayan, V. V. & Anjali, C.",Computerized information system using stacked generalization for diagnosis of diabetes mellitus,,,,,,2015,,,,2015 IEEE Recent Advances in Intelligent Computational Systems (RAICS),,,,,"Diabetes mellitus is considered to be a severe health issue which is caused due to the presence of higher amount of plasma/glucose in the blood. A number of decision support systems were introduced to help medical experts for analyzing different factors that cause diabetes. Here a computerized information system is designed using Stacked Generalization for predicting diabetes. The classifiers under consideration are Decision Stump, Decision Tree, Naive Bayes and Support Vector Machine. The selection of Stacked Generalization is done after conducting a detail performance evaluation of individual classifiers and AdaBoost algorithm. The level of accuracy was varied from a lower value of 75 % to a higher value of 82 % by using Stacking algorithm."
ieee-45,"Georga, E. I.; Protopappas, V. C.; Polyzos, D. & Fotiadis, D. I.",Online prediction of glucose concentration in type 1 diabetes using extreme learning machines,,,,,,2015,,,,2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),,,,,"We propose an online machine-learning solution to the problem of nonlinear glucose time series prediction in type 1 diabetes. Recently, extreme learning machine (ELM) has been proposed for training single hidden layer feed-forward neural networks. The high accuracy and fast learning speed of ELM drive us to investigate its applicability to the glucose prediction problem. Given that diabetes self-monitoring data are received sequentially, we focus on online sequential ELM (OS-ELM) and online sequential ELM kernels (KOS-ELM). A multivariate feature set is utilized concerning subcutaneous glucose, insulin therapy, carbohydrates intake and physical activity. The dataset comes from the continuous multi-day recordings of 15 type 1 patients in free-living conditions. Assuming stationarity and evaluating the performance of the proposed method by 10-fold cross- validation, KOS-ELM were found to perform better than OS-ELM in terms of prediction error, temporal gain and regularity of predictions for a 30-min prediction horizon."
ieee-52,"Rahaman, S.",Diabetes diagnosis expert system by using Belief Rule Base with evidential reasoning,,,,,,2015,,,,"Electrical Engineering and Information Communication Technology (ICEEICT), 2015 International Conference on",,,,,"Diabetes is a knotty disease and very common in the world. It can affect almost every organ of the body. The diagnosis of diabetes is determining from some medical and clinical data associate with diabetes. However, all the data are associated various types of uncertainty, which can cause for time delay, inaccuracy of the diagnosis. A system for automated medical diagnosis would enhance the accuracy of the diagnosis and reduce the cost effects. This paper presents an effective approach for diagnosing diabetes using Belief Rule Base (BRB) with evidential reasoning, which can handle the errors and uncertainties. This paper used the medical and clinical real data to develop and test this system. It has been observed that, this system provides user interactive and reliable results of diabetes diagnosis in percentage."
ieee-58,"Yan, H.; Hong, W.; Li, S.; Song, J. & Xu, Q.",Knowledge Discovery of Acupuncture and Moxibustion Prescriptions for Diabetes Mellitus Therapy Based on Partial Ordered Structure Theory,,,,,,2015,,,,"2015 Fifth International Conference on Instrumentation and Measurement, Computer, Communication and Control (IMCCC)",,,,,"In order to explore acupoints selection rules and treatment philosophy for diabetes mellitus (DM) in acupuncture and moxibustion medicine, a knowledge discovery method based on the partial ordered structure theory was applied in this paper. There were 39 prescriptions involved and they originated from Zhang Daozong and Du Yuanhao, who were both doctors and experts in TCM. First, the formal context of prescriptions was established after data standardization. Then, attribute partial ordered structure diagram and object partial ordered structure diagram based on partial ordered structure theory were generated. With its better visualization and good uniformity in the theory of TCM, diagrams could clearly express the similarities and differences in those prescriptions. Finally, by analysing the diagrams from the perspective of TCM theory based on knowledge discovery, some useful acupuncture selection rules have been discovered. It was found that the partial ordered structure theory makes an excellent presentation of the rules of DM treatment patterns and characteristics of acupoints used in the prescriptions, and the theory has applicability in related research of acupucture and moxibustion prescriptions."
ieee-66,"Tafa, Z.; Pervetica, N. & Karahoda, B.",An intelligent system for diabetes prediction,,,,,,2015,,,,2015 4th Mediterranean Conference on Embedded Computing (MECO),,,,,"With the emerging increase of diabetes, that recently affects around 346 million people, of which more than one-third go undetected in early stage, a strong need for supporting the medical decision-making process is generated. A number of researches have focused either in using one of the algorithms or in the comparisons of the performances of algorithms on a given, usually predefined and static datasets that are accessible through the Internet. This paper focuses on the joint implementation of the support vector machine (SVM) and Na{\\i}ve Bayes statistical modeling"
ieee-74,"Anand, A. & Shakti, D.",Prediction of diabetes based on personal lifestyle indicators,,,,,,2015,,,,2015 1st International Conference on Next Generation Computing Technologies (NGCT),,,,,"Diabetes Mellitus or Diabetes has been portrayed as worse than Cancer and HIV (Human Immunodeficiency Virus). It develops when there are high blood sugar levels over a prolonged period. Recently, it has been quoted as a risk factor for developing Alzheimer, and a leading cause for blindness & kidney failure. Prevention of the disease is a hot topic for research in the healthcare community. Many techniques have been discovered to find the causes of diabetes and cure it. This research paper is a discussion on establishing a relationship between diabetes risk likely to be developed from a person's daily lifestyle activities such as his/her eating habits, sleeping habits, physical activity along with other indicators like BMI (Body Mass Index), waist circumference etc. Initially, a Chi-Squared Test of Independence was performed followed by application of the CART (Classification and Regression Trees) machine learning algorithm on the data and finally using Cross-Validation, the bias in the results was removed."
ieee-82,"Vijayan, V. V. & Anjali, C.",Decision support systems for predicting diabetes mellitus --- A Review,,,,,,2015,,,,"Communication Technologies (GCCT), 2015 Global Conference on",,,,,"Diabetes mellitus is caused due to the increased level of sugar content in the blood. This can cause series complications like kidney failure, stroke, cancer, heart disease and blindness. The early detection and diagnosis, helps to identify and avoid these complications. A number of computerized information systems were designed using different classifiers for predicting and diagnosing diabetes. Selecting proper algorithms for classification clearly increases the accuracy and efficiency of the system. The main objective of this study is to review the benefits of different preprocessing techniques for decision support systems for predicting diabetes which are based on Support Vector Machine (SVM), Naive Bayes classifier and Decision Tree. The preprocessing methods focused on this study are Principal Component Analysis and Discretization. The accuracy variation with and without preprocessing techniques are also evaluated. The tool under consideration is the Weka for this study. The dataset was taken from the University of California, Irvine (UCI) repository of machine learning."
ieee-83,"Liu, X. & Chen, H.",Identifying adverse drug events from patient social media: A case study for diabetes,IEEE Intelligent Systems,,,,,2015,,,,,,,,,"Patient social media sites have emerged as major platforms for discussion of treatments and drug side effects, making them a promising source for listening to patients' voices in adverse drug event reporting. However, extracting patient reports from social media continues to be a challenge in health informatics research. In light of the need for more robust extraction methods, the authors developed a novel information extraction framework for identifying adverse drug events from patient social media. They also conducted a case study on a major diabetes patient social media platform to evaluate their framework's performance. Their approach achieves an f-measure of 86 percent in recognizing discussion of medical events and treatments, an f-measure of 69 percent for identifying adverse drug events, and an f-measure of 84 percent in patient report extraction. Their proposed methods significantly outperformed prior work in extracting patient reports of adverse drug events in health social media."
ieee-84,"Douali, N.; Dollon, J. & Jaulent, M. C.",Personalized prediction of gestational Diabetes using a clinical decision support system,,,,,,2015,,,,"Fuzzy Systems (FUZZ-IEEE), 2015 IEEE International Conference on",,,,,"Diabetes mellitus is a group of metabolic disorders characterized by hyperglycemia resulting from defective secretion and/or insulin action. Biological criteria for diagnosis are established and reviewed by an international committee of experts from the American Diabetes Association. A type of diabetes that was little known caused by physiological consequences such pregnancy, gestational diabetes. Gestational diabetes is a disorder of glucose tolerance occurred or first recognized during pregnancy. The excess glucose in the mother is transmitted to the fetus. This paper present and describe a new methodology on Gestational diabetes prediction by using Case Based Fuzzy Cognitive Maps decision support system."
ieee-92,"Xu, S.; Li, S.; Li, Y.; Hong, W. & Song, J.",The Knowledge Discovery Method for Diagnosis and Treatment Experience on Diabetes of Famous Tcm Doctor Based on Structural Partial-Ordered Attribute Diagram,,,,,,2015,,,,"2015 Fifth International Conference on Instrumentation and Measurement, Computer, Communication and Control (IMCCC)",,,,,"This paper presents a method of discovering new knowledge of clinical diagnosis from the famous TCM doctors' experience about diabetes mellitus base on the theory of Structural Partial-Ordered Attribute Diagram (SPOAD). Firstly, medical records of type 2 DM were collected in Professor Li Saimei's clinic from January to December 2013. Secondly, according to the differences of research content, medical records are considered as object, whereas syndromes, symptoms, main formula, herbal composition as attributes, and the formal context is based on it. Thirdly, some SPOAD are generated. Finally, the treatment principles of Professor Li in treating type 2 DM with TCM were discovered."
ieee-96,"Knok, Z.; Avdagic, Z. & Omanovic, S.",Hybride neuro-fuzzy expert system for assessing diabetes risk,,,,,,2015,,,,"Information and Communication Technology, Electronics and Microelectronics (MIPRO), 2015 38th International Convention on",,,,,There is an increasing number of diabetic diseases in the population. Early diagnosis increases possibility of healing and decreases healing expenses. This paper is focused on modeling of an expert system for assessing diabetes risk using artificial intelligence methods. The model is hierarchical with neuro-fuzzy blocks and voting on the output. Model optimization (learning) is done using the data of real patients acquired in a one public health institution. The expert system is implemented in the Matlab/Simulink environment. Validation of the system shows high sensitivity of 100% which is important for early diagnoses. Specificity is lower - only 90% which means that some patients are sent to further diagnoses although they are healthy. Results indicate that this modeling approach is applicable on assessing diabetes risk. The medical domain knowledge and experience contained in the real data is successfully transferred in the solution model - the proposed expert system. Validation of the proposed expert system indicates that such a system can be used as an auxiliary expert for early diagnoses of diabetes and improve the quality of health systems with lower diagnostic expenses.
ieee-98,"Lalka, N. & Jain, S.",Fuzzy based expert system for diabetes diagnosis and insulin dosage control,,,,,,2015,,,,"Computing, Communication & Automation (ICCCA), 2015 International Conference on",,,,,"The paper presents a fuzzy based expert system to handle the dynamics of diabetes diagnosis and its medication. Imprecise, vague and uncertain information is handled effectively to diagnose the Type-1 diabetes in an individual. Parameters like body mass index (bmi), plasma glucose level, minimum blood pressure and serum insulin level are used for the diagnosis based on the fuzzy logic, and the severity or probability of Type-1 diabetes is calculated. An insulin dosage (units/kg/day) is recommended by considering two attributes, i.e., plasma glucose level and bmi. Different levels of plasma glucose are captured on a daily basis to compute required dosage levels. Fuzzy logic tends to accurately calculate the probability to avoid any hypoglycemic condition in a diabetic. The final output is semantically arranged which depicts different parameters in terms of the fuzzy numbers like low, medium or high, and the probability of diagnosis in terms of five such fuzzy numbers like very low, low, medium, high or very high. This expert system can be effectively used for Type-1 diabetes diagnosis."
ieee-99,"Saji, S. A. & Balachandran, K.",Performance analysis of training algorithms of multilayer perceptrons in diabetes prediction,,,,,,2015,,,,"Computer Engineering and Applications (ICACEA), 2015 International Conference on Advances in",,,,,"Artificial Intelligence plays a vital role in developing machines or software that can create intelligence. Artificial Neural Networks is a field of neuroscience which contributes tremendous developments in Artificial Intelligence. This paper focuses on the study of performance of various training algorithms of Multilayer Perceptrons in Diabetes Prediction. In this study, we have used Pima Indian Diabetes data set from UCI Machine Learning Repository as input dataset. The system is implemented in MatlabR2013. The Pima Indian Diabetes dataset consists of about 768 instances. The input data is the patient history and the target output is the prediction result as tested positive or tested negative. From the performance analysis, it was observed that out of all the training algorithms, Levenberg-Marquardt Algorithm has given optimal training results."
Kardas:2015:TDP:2826165.2826227,"Kardas, Przemys\law & Lewandowski, Krzysztof",Type 2 Diabetes Patients Assessment of the COMODITY12 mHealth System,,,,,325--329,2015,"ICST, Brussels, Belgium, Belgium",,http://dl.acm.org/citation.cfm?id=2826165.2826227,Proceedings of the 9th International Conference on Pervasive Computing Technologies for Healthcare,,,PervasiveHealth '15,,
Yong:2015:FDC:2735711.2735819,"Yong, Kin Fuai; Forero, Juan Pablo; Foong, Shaohui & Nanayakkara, Suranga",FootNote: Designing a Cost Effective Plantar Pressure Monitoring System for Diabetic Foot Ulcer Prevention,,,,,167--168,2015,"New York, NY, USA",,http://doi.acm.org/10.1145/2735711.2735819,Proceedings of the 6th Augmented Human International Conference,,,AH '15,,
Aral:2014:PPC:2693848.2694028,"Aral, Karca D.; Chick, Stephen E. & Grabosch, Alfons",Primary Preventive Care Model for Type 2 Diabetes: Input Calibration with Response Data,,,,,1399--1410,2014,"Piscataway, NJ, USA",,http://dl.acm.org/citation.cfm?id=2693848.2694028,Proceedings of the 2014 Winter Simulation Conference,,,WSC '14,,
Aral:2014:PPC:2694013.2694028,"Aral, Karca D.; Chick, Stephen E. & Grabosch, Alfons",Primary Preventive Care Model for Type 2 Diabetes: Input Calibration with Response Data,,,,,1399--1410,2014,"Piscataway, NJ, USA",,http://dl.acm.org/citation.cfm?id=2694013.2694028,Proceedings of the 2014 Winter Simulation Conference,,,WSC '14,,
Bharara:2014:AAC:2685617.2685651,"Bharara, Manish; Boulger, Erin; Grewal, Gurtej Singh; Schoess, Jeffrey N. & Armstrong, David G.",Applications of Angiosome Classification Model for Monitoring Disease Progression in the Diabetic Feet,,,,,34:1--34:5,2014,"San Diego, CA, USA",,http://dl.acm.org/citation.cfm?id=2685617.2685651,Proceedings of the 2014 Summer Simulation Multiconference,,,SummerSim '14,,
Gao:2014:THM:2693848.2694061,"Gao, Amy; Osgood, Nathaniel D.; An, Wenyi & Dyck, Roland F.",A Tripartite Hybrid Model Architecture for Investigating Health and Cost Impacts and Intervention Tradeoffs for Diabetic End-stage Renal Disease,,,,,1676--1687,2014,"Piscataway, NJ, USA",,http://dl.acm.org/citation.cfm?id=2693848.2694061,Proceedings of the 2014 Winter Simulation Conference,,,WSC '14,,
Gao:2014:THM:2694013.2694061,"Gao, Amy; Osgood, Nathaniel D.; An, Wenyi & Dyck, Roland F.",A Tripartite Hybrid Model Architecture for Investigating Health and Cost Impacts and Intervention Tradeoffs for Diabetic End-stage Renal Disease,,,,,1676--1687,2014,"Piscataway, NJ, USA",,http://dl.acm.org/citation.cfm?id=2694013.2694061,Proceedings of the 2014 Winter Simulation Conference,,,WSC '14,,
