BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,978-1-4503-0194-7,Ilango:2010:HPM:1858378.1858391,"Ilango, B. Sarojini & Ramaraj, N.",A Hybrid Prediction Model with F-score Feature Selection for Type II Diabetes Databases,,,,,13:1--13:4,2010,"New York, NY, USA",,http://doi.acm.org/10.1145/1858378.1858391,Proceedings of the 1st Amrita ACM-W Celebration on Women in Computing in India,,,A2CWiC '10,,ACM,,,,,,,,,"AUC, F-score, Pima Indians diabetes dataset, Support Vector Machine, accuracy sensitivity, data mining, dimensionality reduction, feature selection, medical data, specificity",,
6,,ieee-126,"Karahoca, A.; Karahoca, D. & Kara, A.",Diagnosis of diabetes by using adaptive neuro fuzzy inference systems,,,,,,2009,,,,"Soft Computing, Computing with Words and Perceptions in System Analysis, Decision and Control, 2009. ICSCCW 2009. Fifth International Conference on",,,,,,,,,,,,"Most of discoveries indicate that the best way to overcome diabetes is to prevent the risks of diabetes before becoming a diabetic. With this opinion, we would like to find a way to estimate diabetes risk, according to some variables such as age, total cholesterol, gender or shape of the body. Due to having fuzzy input and output (glucose rate) values and because of that dependent variable have more than 2 values (unlike binary logic), ANFIS and Multinomial Logistic Regression should be executed for comparison. Then the results were benchmarked. As a result, in case of that there is a system which contains fuzzy inputs and output, ANFIS gives better results than Multinomial Logistic Regression for diabetes diagnosis.",,,,
6,,ieee-123,"Sharifi, A.; Vosolipour, A.; Sh, M. Aliyari & Teshnehlab, M.",Hierarchical Takagi-Sugeno type fuzzy system for diabetes mellitus forecasting,,,,,,2008,,,,2008 International Conference on Machine Learning and Cybernetics,,,,,,,,,,,,"In this study, a new group method of data handling (GMDH) method, based on adaptive neurofuzzy inference system (ANFIS) structure, called ANFIS-GMDH and its application for diabetes mellitus forecasting is presented. Conventional neurofuzzy GMDH (NF-GMDH) uses radial basis network (RBF) as the partial descriptions. In this study the RBF partial descriptions are replaced with two input ANFIS structures and backpropagation algorithm is chosen for learning this network structure. The Prima Indians diabetes data set is used as training and testing sets which consist of 768 data whereby 268 of them are diagnosed with diabetes. The result of this study will provide solutions to the medical staff in determining whether someone is the diabetes sufferer or not which is much easier rather than currently doing a blood test. The results show that the proposed method performs better than the other models such as multi layer perceptron (MLP), RBF and ANFIS structure.",,,,
7,,ISI:000172512900004,"Park, J. & Edington, D. W.",A sequential neural network model for diabetes prediction,{ARTIFICIAL INTELLIGENCE IN MEDICINE},{23},{3},{NOV},{277-293},2001,,,,,,,,,,,,,,,,"{This paper presents a neural network (NN) model to evaluate an existing    Health Risk Appraisal (HRA)(2) for diabetes prediction over 3 years    (1996-1998) based on a simulated learning algorithm on individual    prognostic process, using the repeatedly measured HRAs of 6142    participants.    The approach uses a sequential multi-layered perceptron (SMLP) with    backpropagation learning, and an explicit model of time-varying inputs    along with the sequentially obtained prediction probability, which was    obtained by embedding a multivariate logistic function for consecutive    years.    The study captures the time-sensitive feature of associating risk    factors as predictors to the occurrence of diabetes in the corresponding    period. This approach outperforms the baseline classification and    regression models in terms of gains (average profit: 0.18) and    sensitivity (86.04\%) for a test data.    The result enables a time-sensitive disease prevention and management    program as a prospective effort. (C) 2001 Elsevier Science B.V. All    rights reserved.}",,,,
7,,ISI:000209187200003,"Wells, Brian J.; Roth, Rachel; Nowacki, Amy S.; Arrigain, Susana; Yu, Changhong; Rosenkrans, Jr., Wayne A. & Kattan, Michael W.",Prediction of morbidity and mortality in patients with type 2 diabetes,{PEERJ},{1},,{JUN 11},,2013,,,,,,,,,,,,,,,,"{Introduction. The objective of this study was to create a tool that    accurately predicts the risk of morbidity and mortality in patients with    type 2 diabetes according to an oral hypoglycemic agent.    Materials and Methods. The model was based on a cohort of 33,067    patients with type 2 diabetes who were prescribed a single oral    hypoglycemic agent at the Cleveland Clinic between 1998 and 2006.    Competing risk regression models were created for coronary heart disease    (CHD), heart failure, and stroke, while a Cox regression model was    created for mortality. Propensity scores were used to account for    possible treatment bias. A prediction tool was created and internally    validated using tenfold cross-validation. The results were compared to a    Framingham model and a model based on the United Kingdom Prospective    Diabetes Study (UKPDS) for CHD and stroke, respectively.    Results and Discussion. Median follow-up for the mortality outcome was    769 days. The numbers of patients experiencing events were as follows:    CHD (3062), heart failure (1408), stroke (1451), and mortality (3661).    The prediction tools demonstrated the following concordance indices    (c-statistics) for the specific outcomes: CHD (0.730), heart failure    (0.753), stroke (0.688), and mortality (0.719). The prediction tool was    superior to the Framingham model at predicting CHD and was at least as    accurate as the UKPDS model at predicting stroke.    Conclusions. We created an accurate tool for predicting the risk of    stroke, coronary heart disease, heart failure, and death in patients    with type 2 diabetes. The calculator is available online at    http://rcalc.ccf.org under the heading ``Type 2 Diabetes{''} and    entitled, ``Predicting 5-Year Morbidity and Mortality.{''} This may be a    valuable tool to aid the clinician's choice of an oral hypoglycemic, to    better inform patients, and to motivate dialogue between physician and    patient.}",,,,
6,{3-540-23927-8},ISI:000226097900016,"Huang, Y.; McCullagh, P.; Black, N. & Harper, R.",Evaluation of outcome prediction for a clinical diabetes database,,{3303},,,{181-190},2004,,"{International Symposium on Knowledge Exploration in Life Science Informatics, Milan, ITALY, NOV 25-26, 2004}",,"{KNOWLEDGE EXPLORATION IN LIFE SCIENCE INFORMATICS, PROCEEDINGS}",,,{Lecture Notes in Artificial Intelligence},"Lopez, JA; Benfenati, E & Dubitzky, W",,,,,"{COST Act 282, European Sci Fdn}",,,"{Diabetes is a metabolic disorder which can be greatly affected by    lifestyle. The disease cannot be cured but can be controlled, which will    minimize the complications such as heart disease, stroke and blindness.    Clinicians routinely collect large amounts of information on diabetic    patients as part of their day to day management for control of the    disease. We investigate the potential for data mining in order to spot    trends in the data and attempt to predict outcome. Feature selection has    been used to improve the efficiency of the data mining algorithms and    identify the contribution of different features to diabetes control    status prediction. Decision trees can provide classification accuracy    over 78\%. However, while most bad control cases (90\%) can be correctly    classified, at least 50\% of good control cases will be misclassified,    which means that current feature selection and prediction models    illustrate some potential but need additional refinement.}",,,,
7,,ISI:000250295300048,"Polat, Kemal; Guenes, Salih & Arslan, Ahmet",A cascade learning system for classification of diabetes disease: Generalized discriminant analysis and least square support vector machine,{EXPERT SYSTEMS WITH APPLICATIONS},{34},{1},{JAN},{482-487},2008,,,,,,,,,,,,,,,,"{The aim of this study is to diagnosis of diabetes disease, which is one    of the most important diseases in medical field using Generalized    Discriminant Analysis (GDA) and Least Square Support Vector Machine    (LS-SVM). Also, we proposed a new cascade learning system based on    Generalized Discriminant Analysis and Least Square Support Vector    Machine. The proposed system consists of two stages. The first stage, we    have used Generalized Discriminant Analysis to discriminant feature    variables between healthy and patient (diabetes) data as pre-processing    process. The second stage, we have used LS-SVM in order to    classification of diabetes dataset. While LS-SVM obtained 78.21\%    classification accuracy using 10-fold cross validation, the proposed    system called GDA-LS-SVM obtained 82.05\% classification accuracy using    10-fold cross validation. The robustness of the proposed system is    examined using classification accuracy, k-fold cross-validation method    and confusion matrix. The obtained classification accuracy is 82.05\%    and it is very promising compared to the previously reported    classification techniques. (c) 2006 Elsevier Ltd. All rights reserved.}",,,,
7,,ISI:000264528600144,"Temurtas, Hasan; Yumusak, Nejat & Temurtas, Feyzullah",A comparative study on diabetes disease diagnosis using neural networks,{EXPERT SYSTEMS WITH APPLICATIONS},{36},{4},{MAY},{8610-8615},2009,,,,,,,,,,,,,,,,"{Diabetes occurs when a body is unable to produce or respond properly to    insulin which is needed to regulate glucose. Besides contributing to    heart disease, diabetes also increases the risks of developing kidney    disease, blindness, nerve damage, and blood vessel damage. Diabetes    disease diagnosis via proper interpretation of the diabetes data is an    important classification problem. In this study, a comparative    pima-diabetes disease diagnosis was realized. For this purpose. a    multilayer neural network structure which was trained by    Levenberg-Marquardt (LM) algorithm and a probabilistic neural network    structure were used. The results of the study were compared with the    results of the pervious studies reported focusing on diabetes disease    diagnosis and using the same LICI machine learning database. (C) 2008    Elsevier Ltd. All rights reserved.}",,,,
6,{978-3-642-13922-2},ISI:000280516800006,"Guo, Dongmin; Zhang, David; Li, Naimin; Zhang, Lei & Yang, Jianhua",Diabetes Identification and Classification by Means of a Breath Analysis System,,{6165},,,{52-63},2010,,"{2nd International Conference on Medical Biometrics, Hong Kong, PEOPLES R CHINA, JUN 28-30, 2010}",,"{MEDICAL BIOMETRICS, PROCEEDINGS}",,,{Lecture Notes in Computer Science},"Zhang, D & Sonka, M",,,,,{Int Assoc Pattern Recognit; IEEE Computat Intelligence Soc; Natl Nat Sci Fdn China; Springer},,,"{This article proposes a breath analysis system that makes use of    chemical sensors to detect acetone in human breath, and hence detect the    diabetes and measure the blood glucose levels of diabetics. We captured    the breath samples from healthy persons and patients known to be    afflicted with diabetes and conducted experiments on disease    identification and simultaneous blood glucose measurement. SVM    classifier was used to identify diabetes from healthy samples and three    models were built to fit the curves that can represent the blood glucose    levels. The results show that the system is not only able to distinguish    between breath samples from patients with diabetes and healthy subjects,    but also to represent the fluctuation of blood sugar of diabetics and    therefore to be an evaluation tool for monitoring the blood glucose of    diabetes.}",,,,
7,,ISI:000281711500003,"Ubeyli, Elif Derya",Automatic diagnosis of diabetes using adaptive neuro-fuzzy inference systems,{EXPERT SYSTEMS},{27},{4},{SEP},{259-266},2010,,,,,,,,,,,,,,,,{A new approach based on an adaptive neuro-fuzzy inference system (ANFIS)    is presented for diagnosis of diabetes diseases. The Pima Indians    diabetes data set contains records of patients with known diagnosis. The    ANFIS classifiers learn how to differentiate a new case in the domain by    being given a training set of such records. The ANFIS classifier is used    to detect diabetes diseases when eight features defining diabetes    indications are used as inputs. The proposed ANFIS model combines neural    network adaptive capabilities and the fuzzy logic qualitative approach.    The conclusions concerning the impacts of features on the diagnosis of    diabetes disease are obtained through analysis of the ANFIS. The    performance of the ANFIS model is evaluated in terms of training    performances and classification accuracies and the results confirm that    the proposed ANFIS model has potential in detecting diabetes diseases.},,,,
7,,ISI:000289047700046,"Calisir, Duygu & Dogantekin, Esin",An automatic diabetes diagnosis system based on LDA-Wavelet Support Vector Machine Classifier,{EXPERT SYSTEMS WITH APPLICATIONS},{38},{7},{JUL},{8311-8315},2011,,,,,,,,,,,,,,,,"{In this paper, an automatic diagnosis system for diabetes on Linear    Discriminant Analysis (LDA) and Morlet Wavelet Support Vector Machine    Classifier: LDA-MWSVM is introduced. The structure of this automatic    system based on LDA-MWSVM for the diagnosis of diabetes is composed of    three stages: The feature extraction and feature reduction stage by    using the Linear Discriminant Analysis (LDA) method and the    classification stage by using Morlet Wavelet Support Vector Machine    (MWSVM) classifier stage. The Linear Discriminant Analysis (LDA) is used    to separate features variables between healthy and patient (diabetes)    data in the first stage. The healthy and patient (diabetes) features    obtained in the first stage are given to inputs of the MWSVM classifier    in the second stage. Finally, in the third stage, the correct diagnosis    performance of this automatic system based on LDA-MWSVM for the    diagnosis of diabetes is calculated by using sensitivity and specificity    analysis, classification accuracy, and confusion matrix, respectively.    The classification accuracy of this system was obtained at about    89.74\%. (C) 2011 Elsevier Ltd. All rights reserved.}",,,,
7,,ISI:000295193400030,"Ganji, Mostafa Fathi & Abadeh, Mohammad Saniee",A fuzzy classification system based on Ant Colony Optimization for diabetes disease diagnosis,{EXPERT SYSTEMS WITH APPLICATIONS},{38},{12},{NOV-DEC},{14650-14659},2011,,,,,,,,,,,,,,,,"{Classification systems have been widely utilized in medical domain to    explore patient's data and extract a predictive model. This model helps    physicians to improve their prognosis, diagnosis or treatment planning    procedures. The aim of this paper is to use an Ant Colony-based    classification system to extract a set of fuzzy rules for diagnosis of    diabetes disease, named FCS-ANTMINER. We will review some recent methods    and describe a new and efficient approach that leads us to considerable    results for diabetes disease classification problem. FCS-ANTMINER has    new characteristics that make it different from the existing methods    that have utilized the Ant Colony Optimization (ACO) for classification    tasks. The obtained classification accuracy is 84.24\% which reveals    that FCS-ANTMINER outperforms several famous and recent methods in    classification accuracy for diabetes disease diagnosis. (C) 2011    Elsevier Ltd. All rights reserved.}",,,,
6,{978-3-642-22388-4},ISI:000302374500047,"Ahmad, Aliza; Mustapha, Aida; Zahadi, Eliza Dianna; Masah, Norhayati & Yahaya, Nur Yasmin",Comparison between Neural Networks against Decision Tree in Improving Prediction Accuracy for Diabetes Mellitus,,{188},,,{537-545},2011,,"{International Conference on Digital Information Processing and Communications (ICDIPC 2011), VSB Tech Univ Ostrava, Ostrava, CZECH REPUBLIC, JUL 07-09, 2011}",,"{DIGITAL INFORMATION PROCESSING AND COMMUNICATIONS, PT 1}",,,{Communications in Computer and Information Science},"Snasel, V; Platos, J & ElQawasmeh, E",,,,,{Springer; VSB Tech Univ Ostrava; Soc Digital Informat \& Wireless Commun},,,"{This study is to compare the prediction accuracy of multilayer    perceptron in neural networks against tree-based algorithms, in    particular the ID3 and 148 algorithms on Pima Indian diabetes mellitus    data set. The classification experiment is performed using algorithms in    WEKA to determine the class diabetes or non-diabetes with the data set    of 768 patients. Results showed that a pruned J48 tree performed with    higher accuracy, which is 89.3\% as compared to 81.9\% by the multilayer    perceptrons. On further removal of the number of times pregnant    attribute, the prediction accuracy for the pruned J48 tree improved to    89.7\%.}",,,,
6,{978-3-642-21326-7},ISI:000308666100045,"Marcano-Cedeno, Alexis; Torres, Joaquin & Andina, Diego",A Prediction Model to Diabetes Using Artificial Metaplasticity,,{6687},,,{418-425},2011,,"{4th International Work-Conference on the Interplay Between Natural and Artificial Computation (IWINAC)/Joint Workshop and Summer School on Astrostatistics and Data Mining in Large Astronomical Databases, La Palma, SPAIN, MAY 30-JUN 03, 2011}",,"{NEW CHALLENGES ON BIOINSPIRED APPLICATIONS: 4TH INTERNATIONAL WORK-CONFERENCE ON THE INTERPLAY BETWEEN NATURAL AND ARTIFICIAL COMPUTATION, IWINAC 2011, PART II}",,,{Lecture Notes in Computer Science},"Ferrandez, JM; Sanchez, JRA; DeLaPaz, F & Toledo, FJ",,,,,{UNED; Univ Politecnica Cartagena; Spanish Minist Ciencia \& Innovac; CYTED; Red Nacl Computac Nat \& Artificial; APLIQUEM S L},,,"{Diabetes is the most common disease nowadays in all populations and in    all age groups. Different techniques of artificial intelligence has been    applied to diabetes problem. This research proposed the artificial    metaplasticity on multilayer perceptron (AMMLP) as prediction model for    prediction of diabetes. The Pima Indians diabetes was used to test the    proposed model AMMLP. The results obtained by AMMLP were compared with    other algorithms, recently proposed by other researchers, that were    applied to the same database. The best result obtained so far with the    AMMLP algorithm is 89.93\%.}",,,,
7,,ISI:000344442300001,"Zhu, Jia; Xie, Qing & Zheng, Kai",An improved early detection method of type-2 diabetes mellitus using multiple classifier system,{INFORMATION SCIENCES},{292},,{JAN 20},{1-14},2015,,,,,,,,,,,,,,,,"{The specific causes of complex diseases such as Type-2 Diabetes Mellitus    (T2DM) have not yet been identified. Nevertheless, many medical science    researchers believe that complex diseases are caused by a combination of    genetic, environmental, and lifestyle factors. Detection of such    diseases becomes an issue because it is not free from false presumptions    and is accompanied by unpredictable effects. Given the greatly increased    amount of data gathered in medical databases, data mining has been used    widely in recent years to detect and improve the diagnosis of complex    diseases. However, past research showed that no single classifier can be    considered optimal for all problems. Therefore, in this paper, we focus    on employing multiple classifier systems to improve the accuracy of    detection for complex diseases, such as T2DM. We proposed a dynamic    weighted voting scheme called multiple factors weighted combination for    classifiers' decision combination. This method considers not only the    local and global accuracy but also the diversity among classifiers and    localized generalization error of each classifier. We evaluated our    method on two real T2DM data sets and other medical data sets. The    favorable results indicated that our proposed method significantly    outperforms individual classifiers and other fusion methods. (C) 2014    Elsevier Inc. All rights reserved.}",,,,
6,{978-1-4244-7929-0},ISI:000350044702114,"Chung, Jai Won; Kim, Won Jae; Choi, Soo Beom; Park, Jee Soo & Kim, Deok Won",Screening for pre-diabetes using support vector machine model,,,,,{2472-2475},2014,,"{36th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society (EMBC), Chicago, IL, AUG 26-30, 2014}",,{2014 36TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC)},,,{IEEE Engineering in Medicine and Biology Society Conference Proceedings},,,,,,{IEEE Engn Medicine \& Biol Soc},,,"{The global prevalence of diabetes is rapidly increasing. Studies support    screening and interventions for pre-diabetes, which results in serious    complications and diabetes. This study aimed at developing an    intelligence-based screening model for pre-diabetes that could assist    with decreasing the prevalence of diabetes through early identification    and subsequent interventions. Data from the Korean National Health and    Nutrition Examination Survey (KNHANES) were used, excluding subjects    with diabetes. The KNHANES 2010 data (n = 4,685) were used for training    and internal validation, while data from KNHANES 2011 (n = 4,566) were    used for external validation. We developed a model to screen for    pre-diabetes using support vector machine (SVM), and performed a    systematic evaluation of the SVM model using internal and external    validation. We compared the performance of the SVM model with that of a    screening score model based on logistic regression analysis for    pre-diabetes that had been developed previously. Backward elimination    logistic regression resulted in associations between pre-diabetes and    age, sex, waist circumference, body mass index, alcohol intake, family    history of diabetes, and hypertension. The areas under the curves (AUCs)    for the SVM model in the internal and external datasets were 0.761 and    0.731, respectively, while the AUCs for the screening score model were    0.734 and 0.712, respectively. The SVM model developed in this study    performed better than the screening score model that had been developed    previously and may be more effective for pre-diabetes screening.}",,,,
6,{978-1-4673-5127-0},ISI:000350201500031,"Yan, Ke & Zhang, David",A Novel Breath Analysis System for Diabetes Diagnosis,,,,,{165-169},2012,,"{International Conference on Computerized Healthcare (ICCH), Hong Kong, PEOPLES R CHINA, DEC 17-18, 2012}",,{2012 INTERNATIONAL CONFERENCE ON COMPUTERIZED HEALTHCARE (ICCH)},,,,,,,,,{IEEE Hong Kong Sect Comp Chapter; IEEE Comp Soc; Hong Kong Polytechn Univ},,,"{A noninvasive breath analysis system for diabetes diagnosis is proposed    in this paper. It utilizes commercial chemical sensors to detect acetone    in human breath. The device is portable, fast and easy to operate.    Experiments with real breath samples from both inpatient and outpatient    diabetics validated the accuracy of this system. An optimal sensor array    for diabetes diagnosis is decided according to the classification    accuracy. We hope this system could contribute a step toward a practical    system that could be used for diabetes screening.}",,,,
